Sample	sequali-sequali_gc_percentage	sequali-sequali_mean_sequence_length	sequali-sequali_total_reads	sequali-sequali_total_bases	sequali-sequali_duplication_percentage	sequali-sequali_mean_quality
m21094_260505_160002.hifi_reads.bc2001	42.31719159263652	5418.586663420276	0.032857	178.038502	76.54381106004809	35.67808990473872
m21094_260505_160002.hifi_reads.bc2002	41.016898756081694	5337.759855723597	0.047409	253.05785699999998	83.9334303613238	35.66160433672931
m21094_260505_160002.hifi_reads.bc2003	41.59713226079917	5414.004959077108	0.190358	1030.599156	90.02248395129178	35.58495046176152
m21094_260505_160002.hifi_reads.bc2004	41.41540995130525	5297.947216664706	0.033988	180.06663	76.69471578204072	35.70468989054961
m21094_260505_160002.hifi_reads.bc2005	41.91242115050175	5442.625247792395	0.022196	120.80451	78.2077851865201	35.452198594341326
m21094_260505_160002.hifi_reads.bc2006	42.16725529511539	5279.6340077180175	0.061932999999999995	326.983573	83.75986953643452	35.5998579109683
m21094_260505_160002.hifi_reads.bc2007	41.93277186387707	5282.0890359201685	0.395683	2090.032836	94.52314099923423	35.7543690277318
m21094_260505_160002.hifi_reads.bc2008	42.56728180800951	5241.0157917824245	0.041034	215.059842	85.35360920212507	35.635034361748794
m21094_260505_160002.hifi_reads.bc2009	41.99146926436087	5466.528991353748	0.480902	2628.864725	90.95325035038324	35.49607404419196
m21094_260505_160002.hifi_reads.bc2010	41.63092998674248	5326.061024561575	0.163426	870.416849	91.25169801622752	35.612026238175076
