Sample	mean_length	minimum_length	maximum_length	total_reads	q20_reads	total_bases	q20_bases	total_gc_bases	total_n_bases	read_pair_info
m21094_260505_160002.hifi_reads.bc2001	5418.586663420276	631	30768	32857	32013	178038502	176582364	75340894	0	None
m21094_260505_160002.hifi_reads.bc2002	5337.759855723597	356	25918	47409	46221	253057857	251089882	103796485	0	None
m21094_260505_160002.hifi_reads.bc2003	5414.004959077108	138	37534	190358	185501	1030599156	1022331746	428699694	0	None
m21094_260505_160002.hifi_reads.bc2004	5297.947216664706	243	30744	33988	33146	180066630	178650789	74575333	0	None
m21094_260505_160002.hifi_reads.bc2005	5442.625247792395	497	51120	22196	21640	120804510	119817896	50632095	0	None
m21094_260505_160002.hifi_reads.bc2006	5279.6340077180175	525	36117	61933	60304	326983573	324332078	137879998	0	None
m21094_260505_160002.hifi_reads.bc2007	5282.0890359201685	455	36491	395683	385914	2090032836	2074464864	876408701	0	None
m21094_260505_160002.hifi_reads.bc2008	5241.0157917824245	550	31006	41034	39946	215059842	213362421	91545129	0	None
m21094_260505_160002.hifi_reads.bc2009	5466.528991353748	160	44537	480902	468376	2628864725	2607101586	1103898923	0	None
m21094_260505_160002.hifi_reads.bc2010	5326.061024561575	229	31087	163426	159092	870416849	863505069	362362629	0	None
