Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
m21094_260505_160002.hifi_reads.bc2001	(0, 0.0)	(2, 0.0)	(4, 0.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.009130474480323827)	(36, 0.003043491493441276)	(38, 0.7030465349849347)	(40, 4.9395866938551904)	(42, 92.53735885808199)	(44, 1.2752229357518945)	(46, 0.4504367410293088)	(48, 0.054782846881942966)	(50, 0.01521745746720638)	(52, 0.009130474480323827)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.003043491493441276)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
m21094_260505_160002.hifi_reads.bc2002	(0, 0.0)	(2, 0.0)	(4, 0.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.002109304140564028)	(36, 0.016874433124512225)	(38, 1.8604062519774727)	(40, 95.17391212638951)	(42, 2.57124174734755)	(44, 0.2510071927271193)	(46, 0.10546520702820139)	(48, 0.014765128983948196)	(50, 0.0)	(52, 0.004218608281128056)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
m21094_260505_160002.hifi_reads.bc2003	(0, 0.0)	(2, 0.0)	(4, 0.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0005253259647611343)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0005253259647611343)	(26, 0.0)	(28, 0.0005253259647611343)	(30, 0.0005253259647611343)	(32, 0.0)	(34, 0.0005253259647611343)	(36, 0.0026266298238056714)	(38, 1.0543292112755964)	(40, 5.716071822565902)	(42, 92.83612981855241)	(44, 0.2222128830939598)	(46, 0.1271288834721945)	(48, 0.02469032034377331)	(50, 0.008405215436178148)	(52, 0.0026266298238056714)	(54, 0.0010506519295222685)	(56, 0.0005253259647611343)	(58, 0.0005253259647611343)	(60, 0.0)	(62, 0.0010506519295222685)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
m21094_260505_160002.hifi_reads.bc2004	(0, 0.0)	(2, 0.0)	(4, 0.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0029422148993762504)	(34, 0.0)	(36, 0.0029422148993762504)	(38, 2.4655760856772977)	(40, 66.13510650817936)	(42, 30.749087913381192)	(44, 0.3618924326232788)	(46, 0.23243497705072377)	(48, 0.0176532893962575)	(50, 0.020595504295633754)	(52, 0.005884429798752501)	(54, 0.0)	(56, 0.0)	(58, 0.005884429798752501)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
m21094_260505_160002.hifi_reads.bc2005	(0, 0.0)	(2, 0.0)	(4, 0.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.004505316273202379)	(34, 0.013515948819607137)	(36, 0.027031897639214274)	(38, 1.5273022166156065)	(40, 5.027932960893855)	(42, 92.48963777257164)	(44, 0.6442602270679402)	(46, 0.1937285997477023)	(48, 0.03604253018561903)	(50, 0.009010632546404758)	(52, 0.004505316273202379)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.004505316273202379)	(66, 0.004505316273202379)	(68, 0.009010632546404758)	(70, 0.004505316273202379)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
m21094_260505_160002.hifi_reads.bc2006	(0, 0.0)	(2, 0.0)	(4, 0.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0016146480874493405)	(32, 0.0016146480874493405)	(34, 0.0016146480874493405)	(36, 0.0)	(38, 0.6894547333408684)	(40, 3.1792420841877513)	(42, 94.5941582032196)	(44, 1.0414480164048245)	(46, 0.3471493388016082)	(48, 0.12432790273359921)	(50, 0.014531832787044063)	(52, 0.003229296174898681)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0016146480874493405)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
m21094_260505_160002.hifi_reads.bc2007	(0, 0.0)	(2, 0.0)	(4, 0.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0002527275622152076)	(34, 0.0002527275622152076)	(36, 0.0012636378110760381)	(38, 0.26030938908166384)	(40, 1.9502985976147573)	(42, 97.35697515435336)	(44, 0.2762312255012219)	(46, 0.13495651822292087)	(48, 0.016680019106203703)	(50, 0.0010109102488608304)	(52, 0.0010109102488608304)	(54, 0.0002527275622152076)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0002527275622152076)	(64, 0.0002527275622152076)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
m21094_260505_160002.hifi_reads.bc2008	(0, 0.0)	(2, 0.0)	(4, 0.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.1559682214748745)	(40, 2.322464297899303)	(42, 95.7084369059804)	(44, 1.3964029828922357)	(46, 0.32899546717356337)	(48, 0.07554710727689233)	(50, 0.01218501730272457)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
m21094_260505_160002.hifi_reads.bc2009	(0, 0.0)	(2, 0.0)	(4, 0.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.00020794257457860436)	(30, 0.0)	(32, 0.0)	(34, 0.0004158851491572087)	(36, 0.0008317702983144175)	(38, 0.5391950958823212)	(40, 2.9997795808709466)	(42, 95.69912372999073)	(44, 0.5032210304802226)	(46, 0.21522056468885553)	(48, 0.028280190142690193)	(50, 0.009357415856037197)	(52, 0.0018714831712074395)	(54, 0.0012476554474716262)	(56, 0.0004158851491572087)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0004158851491572087)	(70, 0.0004158851491572087)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
m21094_260505_160002.hifi_reads.bc2010	(0, 0.0)	(2, 0.0)	(4, 0.0)	(6, 0.0)	(8, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0006118977396497498)	(34, 0.0)	(36, 0.0012237954792994996)	(38, 0.8230024598289134)	(40, 7.474942787561343)	(42, 91.36489909806274)	(44, 0.1994786631258184)	(46, 0.1205438547110007)	(48, 0.012237954792994995)	(50, 0.0006118977396497498)	(52, 0.0006118977396497498)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0006118977396497498)	(70, 0.0012237954792994996)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
