Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93
m21094_260505_160002.hifi_reads.bc2001	(0, 0)	(1, 0)	(2, 0)	(3, 0)	(4, 0)	(5, 0)	(6, 0)	(7, 0)	(8, 0)	(9, 0)	(10, 0)	(11, 0)	(12, 0)	(13, 0)	(14, 10)	(15, 35)	(16, 89)	(17, 164)	(18, 255)	(19, 291)	(20, 310)	(21, 321)	(22, 329)	(23, 365)	(24, 347)	(25, 413)	(26, 411)	(27, 467)	(28, 485)	(29, 498)	(30, 557)	(31, 629)	(32, 637)	(33, 760)	(34, 904)	(35, 982)	(36, 1583)	(37, 1127)	(38, 1441)	(39, 19369)	(40, 78)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)	(51, 0)	(52, 0)	(53, 0)	(54, 0)	(55, 0)	(56, 0)	(57, 0)	(58, 0)	(59, 0)	(60, 0)	(61, 0)	(62, 0)	(63, 0)	(64, 0)	(65, 0)	(66, 0)	(67, 0)	(68, 0)	(69, 0)	(70, 0)	(71, 0)	(72, 0)	(73, 0)	(74, 0)	(75, 0)	(76, 0)	(77, 0)	(78, 0)	(79, 0)	(80, 0)	(81, 0)	(82, 0)	(83, 0)	(84, 0)	(85, 0)	(86, 0)	(87, 0)	(88, 0)	(89, 0)	(90, 0)	(91, 0)	(92, 0)	(93, 0)
m21094_260505_160002.hifi_reads.bc2002	(0, 0)	(1, 0)	(2, 0)	(3, 0)	(4, 0)	(5, 0)	(6, 0)	(7, 0)	(8, 0)	(9, 0)	(10, 0)	(11, 0)	(12, 0)	(13, 0)	(14, 7)	(15, 51)	(16, 136)	(17, 242)	(18, 323)	(19, 429)	(20, 473)	(21, 489)	(22, 539)	(23, 503)	(24, 529)	(25, 591)	(26, 585)	(27, 625)	(28, 666)	(29, 784)	(30, 804)	(31, 931)	(32, 1059)	(33, 1084)	(34, 1235)	(35, 1271)	(36, 2172)	(37, 1652)	(38, 1959)	(39, 28207)	(40, 63)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)	(51, 0)	(52, 0)	(53, 0)	(54, 0)	(55, 0)	(56, 0)	(57, 0)	(58, 0)	(59, 0)	(60, 0)	(61, 0)	(62, 0)	(63, 0)	(64, 0)	(65, 0)	(66, 0)	(67, 0)	(68, 0)	(69, 0)	(70, 0)	(71, 0)	(72, 0)	(73, 0)	(74, 0)	(75, 0)	(76, 0)	(77, 0)	(78, 0)	(79, 0)	(80, 0)	(81, 0)	(82, 0)	(83, 0)	(84, 0)	(85, 0)	(86, 0)	(87, 0)	(88, 0)	(89, 0)	(90, 0)	(91, 0)	(92, 0)	(93, 0)
m21094_260505_160002.hifi_reads.bc2003	(0, 0)	(1, 0)	(2, 0)	(3, 0)	(4, 0)	(5, 0)	(6, 0)	(7, 0)	(8, 0)	(9, 0)	(10, 0)	(11, 0)	(12, 0)	(13, 0)	(14, 23)	(15, 181)	(16, 537)	(17, 985)	(18, 1373)	(19, 1758)	(20, 1931)	(21, 2014)	(22, 2092)	(23, 2075)	(24, 2168)	(25, 2436)	(26, 2577)	(27, 2689)	(28, 2682)	(29, 2930)	(30, 3103)	(31, 3498)	(32, 3883)	(33, 4578)	(34, 5497)	(35, 5735)	(36, 10177)	(37, 7125)	(38, 8732)	(39, 109330)	(40, 249)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)	(51, 0)	(52, 0)	(53, 0)	(54, 0)	(55, 0)	(56, 0)	(57, 0)	(58, 0)	(59, 0)	(60, 0)	(61, 0)	(62, 0)	(63, 0)	(64, 0)	(65, 0)	(66, 0)	(67, 0)	(68, 0)	(69, 0)	(70, 0)	(71, 0)	(72, 0)	(73, 0)	(74, 0)	(75, 0)	(76, 0)	(77, 0)	(78, 0)	(79, 0)	(80, 0)	(81, 0)	(82, 0)	(83, 0)	(84, 0)	(85, 0)	(86, 0)	(87, 0)	(88, 0)	(89, 0)	(90, 0)	(91, 0)	(92, 0)	(93, 0)
m21094_260505_160002.hifi_reads.bc2004	(0, 0)	(1, 0)	(2, 0)	(3, 0)	(4, 0)	(5, 0)	(6, 0)	(7, 0)	(8, 0)	(9, 0)	(10, 0)	(11, 0)	(12, 0)	(13, 0)	(14, 6)	(15, 26)	(16, 97)	(17, 166)	(18, 234)	(19, 313)	(20, 345)	(21, 364)	(22, 338)	(23, 363)	(24, 339)	(25, 412)	(26, 454)	(27, 430)	(28, 482)	(29, 488)	(30, 515)	(31, 600)	(32, 670)	(33, 795)	(34, 1024)	(35, 1061)	(36, 1766)	(37, 1218)	(38, 1484)	(39, 19933)	(40, 65)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)	(51, 0)	(52, 0)	(53, 0)	(54, 0)	(55, 0)	(56, 0)	(57, 0)	(58, 0)	(59, 0)	(60, 0)	(61, 0)	(62, 0)	(63, 0)	(64, 0)	(65, 0)	(66, 0)	(67, 0)	(68, 0)	(69, 0)	(70, 0)	(71, 0)	(72, 0)	(73, 0)	(74, 0)	(75, 0)	(76, 0)	(77, 0)	(78, 0)	(79, 0)	(80, 0)	(81, 0)	(82, 0)	(83, 0)	(84, 0)	(85, 0)	(86, 0)	(87, 0)	(88, 0)	(89, 0)	(90, 0)	(91, 0)	(92, 0)	(93, 0)
m21094_260505_160002.hifi_reads.bc2005	(0, 0)	(1, 0)	(2, 0)	(3, 0)	(4, 0)	(5, 0)	(6, 0)	(7, 0)	(8, 0)	(9, 0)	(10, 0)	(11, 0)	(12, 0)	(13, 0)	(14, 4)	(15, 21)	(16, 53)	(17, 116)	(18, 161)	(19, 201)	(20, 215)	(21, 226)	(22, 242)	(23, 254)	(24, 253)	(25, 270)	(26, 323)	(27, 331)	(28, 314)	(29, 383)	(30, 436)	(31, 524)	(32, 543)	(33, 664)	(34, 663)	(35, 664)	(36, 1082)	(37, 784)	(38, 964)	(39, 12465)	(40, 40)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)	(51, 0)	(52, 0)	(53, 0)	(54, 0)	(55, 0)	(56, 0)	(57, 0)	(58, 0)	(59, 0)	(60, 0)	(61, 0)	(62, 0)	(63, 0)	(64, 0)	(65, 0)	(66, 0)	(67, 0)	(68, 0)	(69, 0)	(70, 0)	(71, 0)	(72, 0)	(73, 0)	(74, 0)	(75, 0)	(76, 0)	(77, 0)	(78, 0)	(79, 0)	(80, 0)	(81, 0)	(82, 0)	(83, 0)	(84, 0)	(85, 0)	(86, 0)	(87, 0)	(88, 0)	(89, 0)	(90, 0)	(91, 0)	(92, 0)	(93, 0)
m21094_260505_160002.hifi_reads.bc2006	(0, 0)	(1, 0)	(2, 0)	(3, 0)	(4, 0)	(5, 0)	(6, 0)	(7, 0)	(8, 0)	(9, 0)	(10, 0)	(11, 0)	(12, 0)	(13, 0)	(14, 9)	(15, 70)	(16, 224)	(17, 302)	(18, 464)	(19, 560)	(20, 588)	(21, 671)	(22, 694)	(23, 680)	(24, 698)	(25, 843)	(26, 806)	(27, 872)	(28, 979)	(29, 1050)	(30, 1116)	(31, 1217)	(32, 1201)	(33, 1349)	(34, 1491)	(35, 1737)	(36, 2876)	(37, 1911)	(38, 2491)	(39, 36934)	(40, 100)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)	(51, 0)	(52, 0)	(53, 0)	(54, 0)	(55, 0)	(56, 0)	(57, 0)	(58, 0)	(59, 0)	(60, 0)	(61, 0)	(62, 0)	(63, 0)	(64, 0)	(65, 0)	(66, 0)	(67, 0)	(68, 0)	(69, 0)	(70, 0)	(71, 0)	(72, 0)	(73, 0)	(74, 0)	(75, 0)	(76, 0)	(77, 0)	(78, 0)	(79, 0)	(80, 0)	(81, 0)	(82, 0)	(83, 0)	(84, 0)	(85, 0)	(86, 0)	(87, 0)	(88, 0)	(89, 0)	(90, 0)	(91, 0)	(92, 0)	(93, 0)
m21094_260505_160002.hifi_reads.bc2007	(0, 0)	(1, 0)	(2, 0)	(3, 0)	(4, 0)	(5, 0)	(6, 0)	(7, 0)	(8, 0)	(9, 0)	(10, 0)	(11, 0)	(12, 0)	(13, 5)	(14, 47)	(15, 370)	(16, 1184)	(17, 1898)	(18, 2810)	(19, 3455)	(20, 3994)	(21, 4136)	(22, 4110)	(23, 4083)	(24, 4339)	(25, 4641)	(26, 5039)	(27, 5142)	(28, 5343)	(29, 5701)	(30, 6263)	(31, 7006)	(32, 7794)	(33, 9053)	(34, 10596)	(35, 11118)	(36, 18875)	(37, 13630)	(38, 15982)	(39, 238832)	(40, 237)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)	(51, 0)	(52, 0)	(53, 0)	(54, 0)	(55, 0)	(56, 0)	(57, 0)	(58, 0)	(59, 0)	(60, 0)	(61, 0)	(62, 0)	(63, 0)	(64, 0)	(65, 0)	(66, 0)	(67, 0)	(68, 0)	(69, 0)	(70, 0)	(71, 0)	(72, 0)	(73, 0)	(74, 0)	(75, 0)	(76, 0)	(77, 0)	(78, 0)	(79, 0)	(80, 0)	(81, 0)	(82, 0)	(83, 0)	(84, 0)	(85, 0)	(86, 0)	(87, 0)	(88, 0)	(89, 0)	(90, 0)	(91, 0)	(92, 0)	(93, 0)
m21094_260505_160002.hifi_reads.bc2008	(0, 0)	(1, 0)	(2, 0)	(3, 0)	(4, 0)	(5, 0)	(6, 0)	(7, 0)	(8, 0)	(9, 0)	(10, 0)	(11, 0)	(12, 0)	(13, 0)	(14, 9)	(15, 44)	(16, 123)	(17, 189)	(18, 311)	(19, 412)	(20, 393)	(21, 452)	(22, 418)	(23, 481)	(24, 445)	(25, 542)	(26, 535)	(27, 590)	(28, 643)	(29, 650)	(30, 651)	(31, 805)	(32, 823)	(33, 822)	(34, 1075)	(35, 1110)	(36, 1836)	(37, 1388)	(38, 1717)	(39, 24525)	(40, 45)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)	(51, 0)	(52, 0)	(53, 0)	(54, 0)	(55, 0)	(56, 0)	(57, 0)	(58, 0)	(59, 0)	(60, 0)	(61, 0)	(62, 0)	(63, 0)	(64, 0)	(65, 0)	(66, 0)	(67, 0)	(68, 0)	(69, 0)	(70, 0)	(71, 0)	(72, 0)	(73, 0)	(74, 0)	(75, 0)	(76, 0)	(77, 0)	(78, 0)	(79, 0)	(80, 0)	(81, 0)	(82, 0)	(83, 0)	(84, 0)	(85, 0)	(86, 0)	(87, 0)	(88, 0)	(89, 0)	(90, 0)	(91, 0)	(92, 0)	(93, 0)
m21094_260505_160002.hifi_reads.bc2009	(0, 0)	(1, 0)	(2, 0)	(3, 0)	(4, 0)	(5, 0)	(6, 0)	(7, 0)	(8, 0)	(9, 0)	(10, 0)	(11, 0)	(12, 0)	(13, 6)	(14, 75)	(15, 473)	(16, 1512)	(17, 2474)	(18, 3460)	(19, 4526)	(20, 5113)	(21, 5312)	(22, 5359)	(23, 5538)	(24, 5933)	(25, 6381)	(26, 6986)	(27, 7546)	(28, 7918)	(29, 8263)	(30, 8535)	(31, 8898)	(32, 9422)	(33, 10597)	(34, 12429)	(35, 13632)	(36, 22404)	(37, 17912)	(38, 20647)	(39, 279037)	(40, 514)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)	(51, 0)	(52, 0)	(53, 0)	(54, 0)	(55, 0)	(56, 0)	(57, 0)	(58, 0)	(59, 0)	(60, 0)	(61, 0)	(62, 0)	(63, 0)	(64, 0)	(65, 0)	(66, 0)	(67, 0)	(68, 0)	(69, 0)	(70, 0)	(71, 0)	(72, 0)	(73, 0)	(74, 0)	(75, 0)	(76, 0)	(77, 0)	(78, 0)	(79, 0)	(80, 0)	(81, 0)	(82, 0)	(83, 0)	(84, 0)	(85, 0)	(86, 0)	(87, 0)	(88, 0)	(89, 0)	(90, 0)	(91, 0)	(92, 0)	(93, 0)
m21094_260505_160002.hifi_reads.bc2010	(0, 0)	(1, 0)	(2, 0)	(3, 0)	(4, 0)	(5, 0)	(6, 0)	(7, 0)	(8, 0)	(9, 0)	(10, 0)	(11, 0)	(12, 0)	(13, 1)	(14, 24)	(15, 168)	(16, 481)	(17, 874)	(18, 1227)	(19, 1559)	(20, 1663)	(21, 1765)	(22, 1765)	(23, 1703)	(24, 1903)	(25, 2029)	(26, 2181)	(27, 2186)	(28, 2326)	(29, 2591)	(30, 2816)	(31, 3096)	(32, 3591)	(33, 3897)	(34, 4413)	(35, 4368)	(36, 7421)	(37, 5588)	(38, 6638)	(39, 97042)	(40, 110)	(41, 0)	(42, 0)	(43, 0)	(44, 0)	(45, 0)	(46, 0)	(47, 0)	(48, 0)	(49, 0)	(50, 0)	(51, 0)	(52, 0)	(53, 0)	(54, 0)	(55, 0)	(56, 0)	(57, 0)	(58, 0)	(59, 0)	(60, 0)	(61, 0)	(62, 0)	(63, 0)	(64, 0)	(65, 0)	(66, 0)	(67, 0)	(68, 0)	(69, 0)	(70, 0)	(71, 0)	(72, 0)	(73, 0)	(74, 0)	(75, 0)	(76, 0)	(77, 0)	(78, 0)	(79, 0)	(80, 0)	(81, 0)	(82, 0)	(83, 0)	(84, 0)	(85, 0)	(86, 0)	(87, 0)	(88, 0)	(89, 0)	(90, 0)	(91, 0)	(92, 0)	(93, 0)
