Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93
m21094_260505_160002.hifi_reads.bc2001	(0, 0.0)	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.03043491493441276)	(15, 0.10652220227044465)	(16, 0.27087074291627355)	(17, 0.4991326049243692)	(18, 0.7760903308275253)	(19, 0.8856560245914112)	(20, 0.9434823629667956)	(21, 0.9769607693946496)	(22, 1.0013087013421798)	(23, 1.1108743951060658)	(24, 1.0560915482241227)	(25, 1.256961986791247)	(26, 1.2508750038043643)	(27, 1.4213105274370759)	(28, 1.4760933743190188)	(29, 1.5156587637337553)	(30, 1.6952247618467906)	(31, 1.9143561493745624)	(32, 1.9387040813220926)	(33, 2.31305353501537)	(34, 2.7513163100709135)	(35, 2.9887086465593327)	(36, 4.8178470341175395)	(37, 3.4300149131083177)	(38, 4.385671242048878)	(39, 58.94938673646407)	(40, 0.2373923364884195)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)
m21094_260505_160002.hifi_reads.bc2002	(0, 0.0)	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.014765128983948196)	(15, 0.10757451116876543)	(16, 0.2868653631167078)	(17, 0.5104516020164948)	(18, 0.6813052374021811)	(19, 0.904891476301968)	(20, 0.9977008584867852)	(21, 1.0314497247358096)	(22, 1.136914931764011)	(23, 1.060979982703706)	(24, 1.1158218903583708)	(25, 1.2465987470733404)	(26, 1.2339429222299563)	(27, 1.3183150878525174)	(28, 1.4047965576156427)	(29, 1.6536944462021979)	(30, 1.6958805290134784)	(31, 1.96376215486511)	(32, 2.2337530848573057)	(33, 2.2864856883714064)	(34, 2.6049906135965744)	(35, 2.6809255626568795)	(36, 4.581408593305069)	(37, 3.4845704402117743)	(38, 4.13212681136493)	(39, 59.49714189288954)	(40, 0.13288616085553376)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)
m21094_260505_160002.hifi_reads.bc2003	(0, 0.0)	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.012082497189506089)	(15, 0.09508399962176531)	(16, 0.2821000430767291)	(17, 0.5174460752897173)	(18, 0.7212725496170374)	(19, 0.9235230460500741)	(20, 1.0144044379537502)	(21, 1.0580064930289244)	(22, 1.098981918280293)	(23, 1.0900513768793536)	(24, 1.138906691602139)	(25, 1.279694050158123)	(26, 1.353765011189443)	(27, 1.4126015192426902)	(28, 1.4089242374893622)	(29, 1.5392050767501235)	(30, 1.6300864686537997)	(31, 1.8375902247344478)	(32, 2.0398407211674843)	(33, 2.4049422666764726)	(34, 2.887716828291955)	(35, 3.0127444079051053)	(36, 5.346242343374064)	(37, 3.742947498923082)	(38, 4.587146324294225)	(39, 57.43388772733481)	(40, 0.13080616522552244)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)
m21094_260505_160002.hifi_reads.bc2004	(0, 0.0)	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0176532893962575)	(15, 0.07649758738378251)	(16, 0.2853948452394963)	(17, 0.48840767329645757)	(18, 0.6884782864540426)	(19, 0.9209132635047664)	(20, 1.0150641402848064)	(21, 1.070966223372955)	(22, 0.9944686359891727)	(23, 1.0680240084735788)	(24, 0.9974108508885489)	(25, 1.2121925385430152)	(26, 1.3357655643168178)	(27, 1.2651524067317876)	(28, 1.4181475814993527)	(29, 1.4358008708956103)	(30, 1.5152406731787689)	(31, 1.7653289396257503)	(32, 1.9712839825820878)	(33, 2.339060845004119)	(34, 3.0128280569612804)	(35, 3.1216900082382018)	(36, 5.195951512298458)	(37, 3.583617747440273)	(38, 4.366246910674356)	(39, 58.6471695892668)	(40, 0.19124396845945626)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)
m21094_260505_160002.hifi_reads.bc2005	(0, 0.0)	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.018021265092809515)	(15, 0.09461164173724995)	(16, 0.23878176247972607)	(17, 0.522616687691476)	(18, 0.725355919985583)	(19, 0.9055685709136782)	(20, 0.9686429987385115)	(21, 1.0182014777437376)	(22, 1.0902865381149758)	(23, 1.1443503333934042)	(24, 1.139845017120202)	(25, 1.2164353937646424)	(26, 1.4552171562443683)	(27, 1.4912596864299874)	(28, 1.414669309785547)	(29, 1.725536132636511)	(30, 1.9643178951162372)	(31, 2.3607857271580466)	(32, 2.4463867363488916)	(33, 2.9915300054063794)	(34, 2.987024689133177)	(35, 2.9915300054063794)	(36, 4.874752207604974)	(37, 3.532167958190665)	(38, 4.343124887367093)	(39, 56.15876734546765)	(40, 0.18021265092809516)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)
m21094_260505_160002.hifi_reads.bc2006	(0, 0.0)	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.014531832787044063)	(15, 0.11302536612145384)	(16, 0.36168117158865226)	(17, 0.4876237224097008)	(18, 0.749196712576494)	(19, 0.9042029289716307)	(20, 0.9494130754202121)	(21, 1.0834288666785075)	(22, 1.1205657726898421)	(23, 1.0979606994655515)	(24, 1.1270243650396397)	(25, 1.361148337719794)	(26, 1.3014063584841684)	(27, 1.4079731322558249)	(28, 1.5807404776129044)	(29, 1.6953804918218074)	(30, 1.8019472655934639)	(31, 1.9650267224258473)	(32, 1.939192353026658)	(33, 2.17816026996916)	(34, 2.4074402983869665)	(35, 2.8046437278995042)	(36, 4.643727899504303)	(37, 3.0855924951156894)	(38, 4.022088385836307)	(39, 59.63541246185394)	(40, 0.16146480874493405)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)
m21094_260505_160002.hifi_reads.bc2007	(0, 0.0)	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0012636378110760381)	(14, 0.011878195424114758)	(15, 0.09350919801962682)	(16, 0.29922943366280585)	(17, 0.4796769130844641)	(18, 0.7101644498247335)	(19, 0.8731737274535424)	(20, 1.0093938834875393)	(21, 1.0452811973220988)	(22, 1.0387102807045034)	(23, 1.0318866365246928)	(24, 1.0965848924517858)	(25, 1.1729086162407787)	(26, 1.2734941860024311)	(27, 1.2995251249105977)	(28, 1.3503233649158544)	(29, 1.4407998321888986)	(30, 1.5828327221538454)	(31, 1.7706093008797446)	(32, 1.9697586199053283)	(33, 2.287942620734275)	(34, 2.67790124923234)	(35, 2.8098250367086783)	(36, 4.770232736812044)	(37, 3.44467667299328)	(38, 4.039091899323449)	(39, 60.35942913898247)	(40, 0.05989643224500421)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)
m21094_260505_160002.hifi_reads.bc2008	(0, 0.0)	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.021933031144904226)	(15, 0.10722815226397621)	(16, 0.2997514256470244)	(17, 0.46059365404298874)	(18, 0.7579080762294682)	(19, 1.0040454257445046)	(20, 0.9577423599941511)	(21, 1.101525564166301)	(22, 1.018667446507774)	(23, 1.1721986645221036)	(24, 1.0844665399424867)	(25, 1.3208558756153435)	(26, 1.303796851391529)	(27, 1.4378320417214991)	(28, 1.5669932251303798)	(29, 1.584052249354194)	(30, 1.586489252814739)	(31, 1.9617877857386556)	(32, 2.005653848028464)	(33, 2.0032168445679193)	(34, 2.6197787200857827)	(35, 2.7050738412048547)	(36, 4.474338353560462)	(37, 3.382560803236341)	(38, 4.184334941755617)	(39, 59.767509869864014)	(40, 0.10966515572452112)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)
m21094_260505_160002.hifi_reads.bc2009	(0, 0.0)	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0012476554474716262)	(14, 0.015595693093395329)	(15, 0.09835683777567987)	(16, 0.3144091727628498)	(17, 0.5144499295074673)	(18, 0.7194813080419711)	(19, 0.9411480925427634)	(20, 1.0632103838204041)	(21, 1.1045909561615463)	(22, 1.114364257166741)	(23, 1.151585978016311)	(24, 1.2337232949748598)	(25, 1.3268815683860744)	(26, 1.45268682600613)	(27, 1.5691346677701485)	(28, 1.6464893055133893)	(29, 1.718229493743008)	(30, 1.7747898740283883)	(31, 1.8502730286004216)	(32, 1.9592349376796103)	(33, 2.2035674628094704)	(34, 2.584518259437474)	(35, 2.8346731766555346)	(36, 4.658745440859052)	(37, 3.7246673958519616)	(38, 4.293390337324444)	(39, 58.02367218269003)	(40, 0.10688248333340265)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)
m21094_260505_160002.hifi_reads.bc2010	(0, 0.0)	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0006118977396497498)	(14, 0.014685545751593993)	(15, 0.10279882026115796)	(16, 0.2943228127715296)	(17, 0.5347986244538813)	(18, 0.7507985265502429)	(19, 0.9539485761139599)	(20, 1.0175859410375339)	(21, 1.0799995104818083)	(22, 1.0799995104818083)	(23, 1.0420618506235237)	(24, 1.1644413985534738)	(25, 1.2415405137493423)	(26, 1.3345489701761042)	(27, 1.3376084588743529)	(28, 1.423274142425318)	(29, 1.5854270434325015)	(30, 1.7231040348536952)	(31, 1.894435401955625)	(32, 2.197324783082251)	(33, 2.3845654914150747)	(34, 2.7003047250743455)	(35, 2.6727693267901067)	(36, 4.5408931259407925)	(37, 3.4192845691628015)	(38, 4.061777195795039)	(39, 59.379780451091015)	(40, 0.06730875136147248)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)
