Sample	Unique Reads	Duplicate Reads
m21094_260505_160002.hifi_reads.bc2001	7707.0	25150.0
m21094_260505_160002.hifi_reads.bc2002	7617.0	39792.0
m21094_260505_160002.hifi_reads.bc2003	18993.0	171365.0
m21094_260505_160002.hifi_reads.bc2004	7921.0	26067.0
m21094_260505_160002.hifi_reads.bc2005	4837.0	17359.0
m21094_260505_160002.hifi_reads.bc2006	10058.0	51875.0
m21094_260505_160002.hifi_reads.bc2007	21671.0	374012.0
m21094_260505_160002.hifi_reads.bc2008	6010.0	35024.0
m21094_260505_160002.hifi_reads.bc2009	43506.0	437396.0
m21094_260505_160002.hifi_reads.bc2010	14297.0	149129.0
