Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
m21094_260505_160002.hifi_reads.bc2001	('1', 20.11139178865995)	('2', 3.5913199622607057)	('3', 1.2873969017256597)	('4', 0.8886995160848525)	('5', 0.5630459262866361)	('6-10', 2.212618315731808)	('11-20', 2.3678363818973125)	('21-30', 2.4591411267005507)	('31-50', 3.165231153178927)	('51-100', 4.020452262835925)	('101-500', 20.780959917217032)	('501-1000', 7.112639620172262)	('1001-5000', 31.439267127248378)	('5001-10000', 0.0)	('10001-50000', 0.0)	('> 50000', 0.0)
m21094_260505_160002.hifi_reads.bc2002	('1', 13.52063954101542)	('2', 2.4763230610221685)	('3', 0.9744985129405809)	('4', 0.6749773249804889)	('5', 0.7066168870889493)	('6-10', 1.7760340863549113)	('11-20', 2.2168786517327934)	('21-30', 1.5271361977683562)	('31-50', 2.402497416102428)	('51-100', 5.659263009133287)	('101-500', 10.976818747495201)	('501-1000', 9.219768398405366)	('1001-5000', 32.19641840156932)	('5001-10000', 15.672129764390727)	('10001-50000', 0.0)	('> 50000', 0.0)
m21094_260505_160002.hifi_reads.bc2003	('1', 7.6744870191954115)	('2', 2.1811534056882294)	('3', 1.3789806574979775)	('4', 0.9392828249929082)	('5', 0.7170699418989482)	('6-10', 1.1798821168535076)	('11-20', 1.2728648126162283)	('21-30', 0.6466762626209563)	('31-50', 1.1494132108973618)	('51-100', 1.3033337185723741)	('101-500', 8.085291923638618)	('501-1000', 4.4332258166192124)	('1001-5000', 8.64686537996827)	('5001-10000', 6.516143266897109)	('10001-50000', 53.87532964204289)	('> 50000', 0.0)
m21094_260505_160002.hifi_reads.bc2004	('1', 19.8834882899847)	('2', 3.407084853477698)	('3', 1.5887960456631753)	('4', 0.7649758738378252)	('5', 0.7649758738378252)	('6-10', 2.2037189596328117)	('11-20', 2.4714605154760503)	('21-30', 2.444980581381664)	('31-50', 3.736612922207838)	('51-100', 4.663410615511357)	('101-500', 18.915499588089915)	('501-1000', 3.3335294809932923)	('1001-5000', 35.82146639990585)	('5001-10000', 0.0)	('10001-50000', 0.0)	('> 50000', 0.0)
m21094_260505_160002.hifi_reads.bc2005	('1', 18.908812398630385)	('2', 2.7031897639214275)	('3', 0.9190845197332853)	('4', 0.7929356640836186)	('5', 0.7884303478104162)	('6-10', 2.1490358623175347)	('11-20', 2.8158226707514866)	('21-30', 2.617588754730582)	('31-50', 2.7167057127410343)	('51-100', 6.600288340241485)	('101-500', 15.669489998197875)	('501-1000', 9.871147954586412)	('1001-5000', 33.44746801225446)	('5001-10000', 0.0)	('10001-50000', 0.0)	('> 50000', 0.0)
m21094_260505_160002.hifi_reads.bc2006	('1', 13.592107600148548)	('2', 2.5253096087707685)	('3', 1.0947314032906528)	('4', 0.7104451584777097)	('5', 0.460174704923062)	('6-10', 1.911743335540019)	('11-20', 2.4833287584970853)	('21-30', 2.039300534448517)	('31-50', 2.4914019989343323)	('51-100', 6.256761338866195)	('101-500', 15.962410992524179)	('501-1000', 9.188962265674196)	('1001-5000', 26.824148676795893)	('5001-10000', 14.459173623108843)	('10001-50000', 0.0)	('> 50000', 0.0)
m21094_260505_160002.hifi_reads.bc2007	('1', 3.9079262945337554)	('2', 1.345016086109335)	('3', 0.9060283105415192)	('4', 0.668211674497009)	('5', 0.5244096915965558)	('6-10', 1.3374342592428787)	('11-20', 0.8246500355082225)	('21-30', 0.423571394272688)	('31-50', 0.7629845103277119)	('51-100', 1.0397211909533641)	('101-500', 4.6024216355011465)	('501-1000', 3.9700972748386967)	('1001-5000', 6.822127814437315)	('5001-10000', 6.270170818559301)	('10001-50000', 49.00109431034439)	('> 50000', 17.59413469873611)
m21094_260505_160002.hifi_reads.bc2008	('1', 11.985183018959887)	('2', 2.744065896573573)	('3', 1.337914899839158)	('4', 0.6628649412682166)	('5', 0.5239557440171565)	('6-10', 1.2501827752595407)	('11-20', 1.3939659794316908)	('21-30', 1.727835453526344)	('31-50', 2.3663303601891115)	('51-100', 5.878052346834332)	('101-500', 11.558707413364527)	('501-1000', 5.68309206999074)	('1001-5000', 35.728907735048985)	('5001-10000', 17.15894136569674)	('10001-50000', 0.0)	('> 50000', 0.0)
m21094_260505_160002.hifi_reads.bc2009	('1', 7.014318925685482)	('2', 1.9521648901439377)	('3', 1.1734199483470644)	('4', 0.8076489596632994)	('5', 0.5874377731845574)	('6-10', 1.2347630078477527)	('11-20', 0.9498816806750647)	('21-30', 0.5880616009082932)	('31-50', 0.8881227360252193)	('51-100', 1.3131573584638865)	('101-500', 6.896415485899414)	('501-1000', 4.310649571014469)	('1001-5000', 9.26134638658188)	('5001-10000', 6.525653875425761)	('10001-50000', 31.426569238639058)	('> 50000', 25.070388561494855)
m21094_260505_160002.hifi_reads.bc2010	('1', 6.74923206833674)	('2', 1.9752059035893923)	('3', 1.14914395506223)	('4', 0.6363736492357397)	('5', 0.5139941013057898)	('6-10', 1.056135498635468)	('11-20', 1.2531665708026873)	('21-30', 0.7098013779937097)	('31-50', 1.0818352037007575)	('51-100', 1.8693475946299856)	('101-500', 8.733004540281227)	('501-1000', 4.532938455325346)	('1001-5000', 15.239925103716667)	('5001-10000', 13.879064530735624)	('10001-50000', 40.62083144664864)	('> 50000', 0.0)
