Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147
m21094_260505_160002.hifi_reads.bc2001	(0, 0)	(3, 0)	(8, 0)	(13, 0)	(18, 0)	(23, 0)	(29, 0)	(34, 0)	(39, 0)	(44, 0)	(50, 0)	(56, 0)	(61, 0)	(67, 0)	(74, 0)	(82, 0)	(88, 0)	(95, 0)	(102, 0)	(107, 0)	(112, 0)	(117, 0)	(123, 0)	(129, 0)	(136, 0)	(142, 0)	(149, 0)	(157, 0)	(164, 0)	(172, 0)	(181, 0)	(190, 0)	(199, 0)	(209, 0)	(220, 0)	(231, 0)	(242, 0)	(254, 0)	(267, 0)	(280, 0)	(293, 0)	(308, 0)	(323, 0)	(339, 0)	(356, 0)	(373, 0)	(392, 0)	(411, 0)	(432, 0)	(453, 0)	(476, 0)	(499, 0)	(524, 0)	(550, 0)	(577, 0)	(606, 0)	(636, 1)	(667, 0)	(700, 0)	(735, 2)	(771, 0)	(809, 1)	(849, 2)	(892, 1)	(936, 1)	(982, 2)	(1030, 2)	(1081, 2)	(1135, 2)	(1191, 2)	(1250, 5)	(1312, 2)	(1377, 5)	(1445, 3)	(1517, 2)	(1592, 8)	(1671, 4)	(1754, 12)	(1841, 12)	(1932, 9)	(2027, 13)	(2128, 36)	(2233, 33)	(2344, 40)	(2460, 53)	(2581, 59)	(2709, 81)	(2843, 105)	(2984, 136)	(3132, 117)	(3287, 217)	(3450, 257)	(3621, 240)	(3800, 321)	(3988, 394)	(4186, 432)	(4393, 511)	(4611, 603)	(4839, 756)	(5079, 25569)	(5330, 44)	(5594, 29)	(5871, 41)	(6162, 64)	(6467, 57)	(6787, 83)	(7123, 82)	(7476, 96)	(7847, 71)	(8235, 78)	(8643, 89)	(9071, 96)	(9520, 60)	(9992, 132)	(10487, 1309)	(11006, 17)	(11551, 21)	(12123, 29)	(12724, 20)	(13354, 26)	(14016, 21)	(14710, 19)	(15438, 195)	(16203, 6)	(17006, 8)	(17848, 8)	(18732, 8)	(19660, 7)	(20634, 64)	(21656, 1)	(22728, 7)	(23854, 2)	(25035, 2)	(26275, 7)	(27577, 1)	(28943, 2)	(30376, 2)											
m21094_260505_160002.hifi_reads.bc2002	(0, 0)	(3, 0)	(8, 0)	(13, 0)	(18, 0)	(23, 0)	(29, 0)	(34, 0)	(39, 0)	(44, 0)	(50, 0)	(56, 0)	(61, 0)	(67, 0)	(74, 0)	(82, 0)	(88, 0)	(95, 0)	(102, 0)	(107, 0)	(112, 0)	(117, 0)	(123, 0)	(129, 0)	(136, 0)	(142, 0)	(149, 0)	(157, 0)	(164, 0)	(172, 0)	(181, 0)	(190, 0)	(199, 0)	(209, 0)	(220, 0)	(231, 0)	(242, 0)	(254, 0)	(267, 0)	(280, 0)	(293, 0)	(308, 0)	(323, 0)	(339, 0)	(356, 1)	(373, 0)	(392, 0)	(411, 0)	(432, 0)	(453, 0)	(476, 0)	(499, 0)	(524, 2)	(550, 0)	(577, 0)	(606, 0)	(636, 1)	(667, 2)	(700, 1)	(735, 0)	(771, 0)	(809, 1)	(849, 1)	(892, 3)	(936, 1)	(982, 2)	(1030, 2)	(1081, 2)	(1135, 1)	(1191, 0)	(1250, 3)	(1312, 3)	(1377, 3)	(1445, 3)	(1517, 7)	(1592, 5)	(1671, 8)	(1754, 6)	(1841, 21)	(1932, 21)	(2027, 22)	(2128, 20)	(2233, 38)	(2344, 41)	(2460, 50)	(2581, 51)	(2709, 65)	(2843, 99)	(2984, 129)	(3132, 154)	(3287, 182)	(3450, 213)	(3621, 198)	(3800, 288)	(3988, 371)	(4186, 469)	(4393, 485)	(4611, 580)	(4839, 951)	(5079, 38928)	(5330, 1259)	(5594, 22)	(5871, 40)	(6162, 47)	(6467, 56)	(6787, 75)	(7123, 64)	(7476, 73)	(7847, 103)	(8235, 63)	(8643, 67)	(9071, 65)	(9520, 65)	(9992, 106)	(10487, 1556)	(11006, 9)	(11551, 14)	(12123, 16)	(12724, 16)	(13354, 13)	(14016, 21)	(14710, 19)	(15438, 160)	(16203, 2)	(17006, 8)	(17848, 5)	(18732, 2)	(19660, 1)	(20634, 20)	(21656, 1)	(22728, 1)	(23854, 0)	(25035, 1)	(26275, 5)														
m21094_260505_160002.hifi_reads.bc2003	(0, 0)	(3, 0)	(8, 0)	(13, 0)	(18, 0)	(23, 0)	(29, 0)	(34, 0)	(39, 0)	(44, 0)	(50, 0)	(56, 0)	(61, 0)	(67, 0)	(74, 0)	(82, 0)	(88, 0)	(95, 0)	(102, 0)	(107, 0)	(112, 0)	(117, 0)	(123, 0)	(129, 0)	(136, 1)	(142, 0)	(149, 0)	(157, 0)	(164, 0)	(172, 0)	(181, 0)	(190, 0)	(199, 0)	(209, 0)	(220, 0)	(231, 0)	(242, 0)	(254, 0)	(267, 1)	(280, 0)	(293, 0)	(308, 0)	(323, 0)	(339, 2)	(356, 0)	(373, 0)	(392, 1)	(411, 0)	(432, 1)	(453, 0)	(476, 0)	(499, 0)	(524, 0)	(550, 1)	(577, 0)	(606, 0)	(636, 0)	(667, 0)	(700, 0)	(735, 1)	(771, 4)	(809, 1)	(849, 11)	(892, 6)	(936, 2)	(982, 4)	(1030, 5)	(1081, 3)	(1135, 9)	(1191, 9)	(1250, 12)	(1312, 15)	(1377, 12)	(1445, 14)	(1517, 29)	(1592, 20)	(1671, 29)	(1754, 35)	(1841, 39)	(1932, 53)	(2027, 66)	(2128, 74)	(2233, 82)	(2344, 125)	(2460, 157)	(2581, 152)	(2709, 285)	(2843, 245)	(2984, 383)	(3132, 404)	(3287, 661)	(3450, 724)	(3621, 773)	(3800, 985)	(3988, 1206)	(4186, 1277)	(4393, 1496)	(4611, 2386)	(4839, 2032)	(5079, 162813)	(5330, 286)	(5594, 172)	(5871, 276)	(6162, 290)	(6467, 301)	(6787, 415)	(7123, 361)	(7476, 334)	(7847, 390)	(8235, 339)	(8643, 308)	(9071, 302)	(9520, 282)	(9992, 474)	(10487, 7236)	(11006, 89)	(11551, 104)	(12123, 99)	(12724, 95)	(13354, 82)	(14016, 85)	(14710, 61)	(15438, 965)	(16203, 28)	(17006, 26)	(17848, 28)	(18732, 19)	(19660, 12)	(20634, 165)	(21656, 8)	(22728, 17)	(23854, 5)	(25035, 5)	(26275, 43)	(27577, 0)	(28943, 0)	(30376, 6)	(31881, 0)	(33460, 0)	(35117, 2)	(36856, 2)							
m21094_260505_160002.hifi_reads.bc2004	(0, 0)	(3, 0)	(8, 0)	(13, 0)	(18, 0)	(23, 0)	(29, 0)	(34, 0)	(39, 0)	(44, 0)	(50, 0)	(56, 0)	(61, 0)	(67, 0)	(74, 0)	(82, 0)	(88, 0)	(95, 0)	(102, 0)	(107, 0)	(112, 0)	(117, 0)	(123, 0)	(129, 0)	(136, 0)	(142, 0)	(149, 0)	(157, 0)	(164, 0)	(172, 0)	(181, 0)	(190, 0)	(199, 0)	(209, 0)	(220, 0)	(231, 0)	(242, 1)	(254, 0)	(267, 0)	(280, 0)	(293, 1)	(308, 0)	(323, 0)	(339, 0)	(356, 0)	(373, 0)	(392, 1)	(411, 0)	(432, 0)	(453, 0)	(476, 0)	(499, 1)	(524, 0)	(550, 0)	(577, 1)	(606, 0)	(636, 0)	(667, 1)	(700, 0)	(735, 1)	(771, 1)	(809, 1)	(849, 3)	(892, 0)	(936, 0)	(982, 2)	(1030, 1)	(1081, 3)	(1135, 0)	(1191, 2)	(1250, 2)	(1312, 2)	(1377, 4)	(1445, 6)	(1517, 9)	(1592, 9)	(1671, 9)	(1754, 11)	(1841, 16)	(1932, 18)	(2027, 26)	(2128, 34)	(2233, 40)	(2344, 49)	(2460, 65)	(2581, 66)	(2709, 92)	(2843, 89)	(2984, 128)	(3132, 151)	(3287, 259)	(3450, 235)	(3621, 293)	(3800, 304)	(3988, 413)	(4186, 444)	(4393, 578)	(4611, 636)	(4839, 770)	(5079, 26969)	(5330, 31)	(5594, 26)	(5871, 45)	(6162, 50)	(6467, 67)	(6787, 53)	(7123, 57)	(7476, 74)	(7847, 66)	(8235, 72)	(8643, 69)	(9071, 54)	(9520, 48)	(9992, 179)	(10487, 933)	(11006, 20)	(11551, 25)	(12123, 26)	(12724, 15)	(13354, 33)	(14016, 22)	(14710, 17)	(15438, 162)	(16203, 3)	(17006, 7)	(17848, 7)	(18732, 7)	(19660, 6)	(20634, 40)	(21656, 5)	(22728, 4)	(23854, 1)	(25035, 13)	(26275, 1)	(27577, 1)	(28943, 0)	(30376, 2)											
m21094_260505_160002.hifi_reads.bc2005	(0, 0)	(3, 0)	(8, 0)	(13, 0)	(18, 0)	(23, 0)	(29, 0)	(34, 0)	(39, 0)	(44, 0)	(50, 0)	(56, 0)	(61, 0)	(67, 0)	(74, 0)	(82, 0)	(88, 0)	(95, 0)	(102, 0)	(107, 0)	(112, 0)	(117, 0)	(123, 0)	(129, 0)	(136, 0)	(142, 0)	(149, 0)	(157, 0)	(164, 0)	(172, 0)	(181, 0)	(190, 0)	(199, 0)	(209, 0)	(220, 0)	(231, 0)	(242, 0)	(254, 0)	(267, 0)	(280, 0)	(293, 0)	(308, 0)	(323, 0)	(339, 0)	(356, 0)	(373, 0)	(392, 0)	(411, 0)	(432, 0)	(453, 0)	(476, 0)	(499, 1)	(524, 0)	(550, 0)	(577, 0)	(606, 0)	(636, 0)	(667, 0)	(700, 0)	(735, 0)	(771, 0)	(809, 0)	(849, 1)	(892, 0)	(936, 0)	(982, 1)	(1030, 0)	(1081, 1)	(1135, 1)	(1191, 0)	(1250, 0)	(1312, 1)	(1377, 2)	(1445, 1)	(1517, 1)	(1592, 5)	(1671, 4)	(1754, 10)	(1841, 9)	(1932, 11)	(2027, 13)	(2128, 8)	(2233, 23)	(2344, 24)	(2460, 23)	(2581, 31)	(2709, 39)	(2843, 57)	(2984, 76)	(3132, 102)	(3287, 127)	(3450, 137)	(3621, 134)	(3800, 173)	(3988, 232)	(4186, 249)	(4393, 310)	(4611, 372)	(4839, 373)	(5079, 17595)	(5330, 23)	(5594, 23)	(5871, 71)	(6162, 43)	(6467, 55)	(6787, 81)	(7123, 60)	(7476, 61)	(7847, 56)	(8235, 57)	(8643, 59)	(9071, 59)	(9520, 43)	(9992, 319)	(10487, 718)	(11006, 20)	(11551, 23)	(12123, 20)	(12724, 17)	(13354, 15)	(14016, 20)	(14710, 6)	(15438, 122)	(16203, 8)	(17006, 11)	(17848, 6)	(18732, 4)	(19660, 4)	(20634, 27)	(21656, 1)	(22728, 1)	(23854, 2)	(25035, 6)	(26275, 0)	(27577, 2)	(28943, 1)	(30376, 1)	(31881, 1)	(33460, 0)	(35117, 2)	(36856, 0)	(38682, 0)	(40597, 0)	(42608, 0)	(44719, 0)	(46934, 0)	(49258, 0)	(51698, 1)
m21094_260505_160002.hifi_reads.bc2006	(0, 0)	(3, 0)	(8, 0)	(13, 0)	(18, 0)	(23, 0)	(29, 0)	(34, 0)	(39, 0)	(44, 0)	(50, 0)	(56, 0)	(61, 0)	(67, 0)	(74, 0)	(82, 0)	(88, 0)	(95, 0)	(102, 0)	(107, 0)	(112, 0)	(117, 0)	(123, 0)	(129, 0)	(136, 0)	(142, 0)	(149, 0)	(157, 0)	(164, 0)	(172, 0)	(181, 0)	(190, 0)	(199, 0)	(209, 0)	(220, 0)	(231, 0)	(242, 0)	(254, 0)	(267, 0)	(280, 0)	(293, 0)	(308, 0)	(323, 0)	(339, 0)	(356, 0)	(373, 0)	(392, 0)	(411, 0)	(432, 0)	(453, 0)	(476, 0)	(499, 0)	(524, 1)	(550, 0)	(577, 0)	(606, 1)	(636, 1)	(667, 1)	(700, 0)	(735, 0)	(771, 1)	(809, 4)	(849, 1)	(892, 1)	(936, 1)	(982, 2)	(1030, 2)	(1081, 0)	(1135, 4)	(1191, 3)	(1250, 5)	(1312, 2)	(1377, 5)	(1445, 6)	(1517, 9)	(1592, 11)	(1671, 12)	(1754, 26)	(1841, 29)	(1932, 30)	(2027, 32)	(2128, 44)	(2233, 54)	(2344, 54)	(2460, 73)	(2581, 99)	(2709, 105)	(2843, 121)	(2984, 175)	(3132, 194)	(3287, 293)	(3450, 310)	(3621, 368)	(3800, 418)	(3988, 522)	(4186, 510)	(4393, 741)	(4611, 909)	(4839, 1064)	(5079, 51699)	(5330, 660)	(5594, 34)	(5871, 99)	(6162, 60)	(6467, 79)	(6787, 272)	(7123, 82)	(7476, 89)	(7847, 93)	(8235, 69)	(8643, 85)	(9071, 76)	(9520, 78)	(9992, 335)	(10487, 1362)	(11006, 14)	(11551, 23)	(12123, 37)	(12724, 22)	(13354, 26)	(14016, 29)	(14710, 30)	(15438, 225)	(16203, 5)	(17006, 9)	(17848, 12)	(18732, 4)	(19660, 7)	(20634, 47)	(21656, 3)	(22728, 1)	(23854, 3)	(25035, 6)	(26275, 8)	(27577, 1)	(28943, 1)	(30376, 3)	(31881, 0)	(33460, 0)	(35117, 0)	(36856, 1)							
m21094_260505_160002.hifi_reads.bc2007	(0, 0)	(3, 0)	(8, 0)	(13, 0)	(18, 0)	(23, 0)	(29, 0)	(34, 0)	(39, 0)	(44, 0)	(50, 0)	(56, 0)	(61, 0)	(67, 0)	(74, 0)	(82, 0)	(88, 0)	(95, 0)	(102, 0)	(107, 0)	(112, 0)	(117, 0)	(123, 0)	(129, 0)	(136, 0)	(142, 0)	(149, 0)	(157, 0)	(164, 0)	(172, 0)	(181, 0)	(190, 0)	(199, 0)	(209, 0)	(220, 0)	(231, 0)	(242, 0)	(254, 0)	(267, 0)	(280, 0)	(293, 0)	(308, 0)	(323, 0)	(339, 0)	(356, 0)	(373, 0)	(392, 0)	(411, 0)	(432, 0)	(453, 2)	(476, 1)	(499, 0)	(524, 4)	(550, 1)	(577, 0)	(606, 1)	(636, 1)	(667, 0)	(700, 3)	(735, 4)	(771, 4)	(809, 3)	(849, 3)	(892, 6)	(936, 9)	(982, 4)	(1030, 1)	(1081, 8)	(1135, 9)	(1191, 6)	(1250, 14)	(1312, 15)	(1377, 17)	(1445, 18)	(1517, 42)	(1592, 35)	(1671, 39)	(1754, 54)	(1841, 116)	(1932, 77)	(2027, 113)	(2128, 124)	(2233, 131)	(2344, 182)	(2460, 228)	(2581, 259)	(2709, 342)	(2843, 389)	(2984, 508)	(3132, 574)	(3287, 842)	(3450, 1127)	(3621, 1194)	(3800, 1595)	(3988, 1623)	(4186, 2285)	(4393, 2235)	(4611, 4704)	(4839, 3598)	(5079, 15035)	(5330, 347493)	(5594, 63)	(5871, 117)	(6162, 202)	(6467, 208)	(6787, 213)	(7123, 305)	(7476, 227)	(7847, 258)	(8235, 170)	(8643, 238)	(9071, 218)	(9520, 166)	(9992, 329)	(10487, 6818)	(11006, 24)	(11551, 54)	(12123, 58)	(12724, 43)	(13354, 33)	(14016, 59)	(14710, 23)	(15438, 626)	(16203, 8)	(17006, 9)	(17848, 15)	(18732, 11)	(19660, 5)	(20634, 71)	(21656, 1)	(22728, 2)	(23854, 1)	(25035, 3)	(26275, 25)	(27577, 0)	(28943, 0)	(30376, 0)	(31881, 1)	(33460, 0)	(35117, 0)	(36856, 1)							
m21094_260505_160002.hifi_reads.bc2008	(0, 0)	(3, 0)	(8, 0)	(13, 0)	(18, 0)	(23, 0)	(29, 0)	(34, 0)	(39, 0)	(44, 0)	(50, 0)	(56, 0)	(61, 0)	(67, 0)	(74, 0)	(82, 0)	(88, 0)	(95, 0)	(102, 0)	(107, 0)	(112, 0)	(117, 0)	(123, 0)	(129, 0)	(136, 0)	(142, 0)	(149, 0)	(157, 0)	(164, 0)	(172, 0)	(181, 0)	(190, 0)	(199, 0)	(209, 0)	(220, 0)	(231, 0)	(242, 0)	(254, 0)	(267, 0)	(280, 0)	(293, 0)	(308, 0)	(323, 0)	(339, 0)	(356, 0)	(373, 0)	(392, 0)	(411, 0)	(432, 0)	(453, 0)	(476, 0)	(499, 0)	(524, 0)	(550, 1)	(577, 1)	(606, 0)	(636, 0)	(667, 0)	(700, 0)	(735, 1)	(771, 1)	(809, 1)	(849, 0)	(892, 1)	(936, 1)	(982, 4)	(1030, 0)	(1081, 2)	(1135, 3)	(1191, 3)	(1250, 4)	(1312, 2)	(1377, 5)	(1445, 3)	(1517, 5)	(1592, 7)	(1671, 4)	(1754, 13)	(1841, 20)	(1932, 14)	(2027, 18)	(2128, 24)	(2233, 36)	(2344, 38)	(2460, 58)	(2581, 66)	(2709, 65)	(2843, 69)	(2984, 98)	(3132, 123)	(3287, 185)	(3450, 222)	(3621, 237)	(3800, 274)	(3988, 403)	(4186, 401)	(4393, 370)	(4611, 1119)	(4839, 549)	(5079, 34762)	(5330, 161)	(5594, 16)	(5871, 26)	(6162, 29)	(6467, 37)	(6787, 46)	(7123, 45)	(7476, 39)	(7847, 52)	(8235, 34)	(8643, 39)	(9071, 42)	(9520, 79)	(9992, 107)	(10487, 860)	(11006, 4)	(11551, 12)	(12123, 15)	(12724, 12)	(13354, 14)	(14016, 13)	(14710, 17)	(15438, 83)	(16203, 2)	(17006, 5)	(17848, 2)	(18732, 4)	(19660, 4)	(20634, 16)	(21656, 0)	(22728, 0)	(23854, 1)	(25035, 1)	(26275, 2)	(27577, 0)	(28943, 1)	(30376, 1)											
m21094_260505_160002.hifi_reads.bc2009	(0, 0)	(3, 0)	(8, 0)	(13, 0)	(18, 0)	(23, 0)	(29, 0)	(34, 0)	(39, 0)	(44, 0)	(50, 0)	(56, 0)	(61, 0)	(67, 0)	(74, 0)	(82, 0)	(88, 0)	(95, 0)	(102, 0)	(107, 0)	(112, 0)	(117, 0)	(123, 0)	(129, 0)	(136, 0)	(142, 0)	(149, 0)	(157, 1)	(164, 0)	(172, 0)	(181, 0)	(190, 0)	(199, 1)	(209, 0)	(220, 0)	(231, 0)	(242, 2)	(254, 0)	(267, 1)	(280, 0)	(293, 0)	(308, 0)	(323, 0)	(339, 0)	(356, 0)	(373, 0)	(392, 0)	(411, 2)	(432, 7)	(453, 4)	(476, 0)	(499, 0)	(524, 2)	(550, 3)	(577, 3)	(606, 3)	(636, 6)	(667, 2)	(700, 3)	(735, 8)	(771, 5)	(809, 4)	(849, 7)	(892, 9)	(936, 8)	(982, 7)	(1030, 15)	(1081, 17)	(1135, 21)	(1191, 17)	(1250, 25)	(1312, 21)	(1377, 32)	(1445, 29)	(1517, 85)	(1592, 53)	(1671, 65)	(1754, 93)	(1841, 191)	(1932, 153)	(2027, 188)	(2128, 228)	(2233, 239)	(2344, 361)	(2460, 412)	(2581, 543)	(2709, 574)	(2843, 613)	(2984, 901)	(3132, 1037)	(3287, 1311)	(3450, 1804)	(3621, 1912)	(3800, 2123)	(3988, 2550)	(4186, 3019)	(4393, 3292)	(4611, 4259)	(4839, 4364)	(5079, 85815)	(5330, 335235)	(5594, 1081)	(5871, 536)	(6162, 612)	(6467, 651)	(6787, 756)	(7123, 822)	(7476, 715)	(7847, 865)	(8235, 630)	(8643, 672)	(9071, 594)	(9520, 511)	(9992, 491)	(10487, 15079)	(11006, 179)	(11551, 220)	(12123, 342)	(12724, 266)	(13354, 230)	(14016, 214)	(14710, 150)	(15438, 2448)	(16203, 110)	(17006, 82)	(17848, 101)	(18732, 87)	(19660, 50)	(20634, 481)	(21656, 17)	(22728, 24)	(23854, 32)	(25035, 15)	(26275, 111)	(27577, 6)	(28943, 2)	(30376, 1)	(31881, 16)	(33460, 4)	(35117, 1)	(36856, 11)	(38682, 0)	(40597, 0)	(42608, 1)	(44719, 1)			
m21094_260505_160002.hifi_reads.bc2010	(0, 0)	(3, 0)	(8, 0)	(13, 0)	(18, 0)	(23, 0)	(29, 0)	(34, 0)	(39, 0)	(44, 0)	(50, 0)	(56, 0)	(61, 0)	(67, 0)	(74, 0)	(82, 0)	(88, 0)	(95, 0)	(102, 0)	(107, 0)	(112, 0)	(117, 0)	(123, 0)	(129, 0)	(136, 0)	(142, 0)	(149, 0)	(157, 0)	(164, 0)	(172, 0)	(181, 0)	(190, 0)	(199, 0)	(209, 0)	(220, 0)	(231, 1)	(242, 0)	(254, 0)	(267, 0)	(280, 0)	(293, 0)	(308, 0)	(323, 0)	(339, 0)	(356, 0)	(373, 0)	(392, 0)	(411, 0)	(432, 0)	(453, 0)	(476, 0)	(499, 0)	(524, 0)	(550, 0)	(577, 1)	(606, 1)	(636, 0)	(667, 1)	(700, 0)	(735, 2)	(771, 1)	(809, 0)	(849, 1)	(892, 1)	(936, 2)	(982, 4)	(1030, 3)	(1081, 2)	(1135, 6)	(1191, 3)	(1250, 2)	(1312, 3)	(1377, 7)	(1445, 9)	(1517, 23)	(1592, 10)	(1671, 9)	(1754, 31)	(1841, 49)	(1932, 29)	(2027, 36)	(2128, 57)	(2233, 64)	(2344, 94)	(2460, 101)	(2581, 127)	(2709, 169)	(2843, 225)	(2984, 303)	(3132, 322)	(3287, 402)	(3450, 570)	(3621, 609)	(3800, 741)	(3988, 927)	(4186, 1037)	(4393, 1080)	(4611, 1615)	(4839, 1819)	(5079, 125113)	(5330, 20131)	(5594, 242)	(5871, 198)	(6162, 110)	(6467, 121)	(6787, 212)	(7123, 164)	(7476, 177)	(7847, 209)	(8235, 146)	(8643, 163)	(9071, 159)	(9520, 134)	(9992, 262)	(10487, 4566)	(11006, 35)	(11551, 34)	(12123, 53)	(12724, 29)	(13354, 35)	(14016, 35)	(14710, 25)	(15438, 454)	(16203, 5)	(17006, 9)	(17848, 7)	(18732, 8)	(19660, 4)	(20634, 62)	(21656, 5)	(22728, 1)	(23854, 2)	(25035, 3)	(26275, 11)	(27577, 0)	(28943, 1)	(30376, 2)											
